"ch"	"sex"	"age"	"morph"
"00011000"	"m"	"Juv"	"I"
"00001010"	"m"	"Juv"	"I"
"01110100"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"S"
"00111100"	"m"	"Juv"	"I"
"00010000"	"m"	"Juv"	"I"
"10000000"	"m"	"Juv"	"I"
"10010000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001111"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"S"
"01100000"	"m"	"Juv"	"I"
"01100000"	"m"	"Juv"	"I"
"01010000"	"m"	"Juv"	"I"
"01111000"	"m"	"Juv"	"S"
"00111100"	"m"	"Juv"	"S"
"00111000"	"m"	"Juv"	"S"
"00010000"	"m"	"Juv"	"I"
"00010000"	"m"	"Juv"	"I"
"00011101"	"m"	"Juv"	"I"
"00010100"	"m"	"Juv"	"I"
"11111100"	"m"	"Juv"	"I"
"10000100"	"m"	"Juv"	"I"
"10000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01100000"	"m"	"Juv"	"I"
"11111110"	"m"	"Juv"	"I"
"01111100"	"m"	"Juv"	"I"
"01010000"	"m"	"Juv"	"I"
"01101100"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01100000"	"m"	"Juv"	"I"
"01111000"	"m"	"Juv"	"I"
"01110000"	"m"	"Juv"	"I"
"00010000"	"m"	"Juv"	"I"
"00101111"	"m"	"Juv"	"I"
"00010010"	"m"	"Juv"	"I"
"00011000"	"m"	"Juv"	"I"
"01111000"	"m"	"Juv"	"I"
"10110000"	"m"	"Juv"	"I"
"00011011"	"m"	"Juv"	"I"
"00001100"	"m"	"Juv"	"I"
"00011000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00000101"	"m"	"Juv"	"I"
"00110000"	"m"	"Juv"	"I"
"01111110"	"m"	"Juv"	"I"
"00101000"	"m"	"Juv"	"I"
"00111000"	"m"	"Juv"	"I"
"00111100"	"m"	"Juv"	"I"
"00011000"	"m"	"Juv"	"I"
"00010000"	"m"	"Juv"	"I"
"00010000"	"m"	"Juv"	"I"
"00011111"	"m"	"Juv"	"I"
"00011110"	"m"	"Juv"	"I"
"10000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01111000"	"m"	"Juv"	"I"
"01100000"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"S"
"00000110"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001001"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001111"	"m"	"Juv"	"I"
"00001100"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00011010"	"m"	"Juv"	"I"
"00011100"	"m"	"Juv"	"I"
"00010000"	"m"	"Juv"	"F"
"00010000"	"m"	"Juv"	"I"
"00010000"	"m"	"Juv"	"I"
"00010000"	"m"	"Juv"	"I"
"00011000"	"m"	"Juv"	"I"
"00011000"	"m"	"Juv"	"I"
"00001010"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001110"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001100"	"m"	"Juv"	"I"
"00001110"	"m"	"Juv"	"I"
"00001001"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000111"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001100"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001010"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001100"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001110"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001010"	"m"	"Juv"	"I"
"00001010"	"m"	"Juv"	"I"
"00001100"	"m"	"Juv"	"I"
"00001111"	"m"	"Juv"	"S"
"00001100"	"f"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001011"	"m"	"Juv"	"S"
"00001010"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000101"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000111"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000101"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00001100"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001010"	"m"	"Juv"	"I"
"00001110"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00001000"	"m"	"Juv"	"I"
"00000101"	"m"	"Juv"	"F"
"00000100"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000111"	"m"	"Juv"	"S"
"00000101"	"m"	"Juv"	"S"
"00000110"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000101"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000111"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"S"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000111"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000110"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
